id,AGE,GENDER,H2,C2,FHD2,FC2,H4,C4,FHD4,FC4,H6,C6,FHD6,FC6,H9,C9,FHD9,FC9,H10,C10,FHD10,FC10,H13,C13,FHD13,FC13,H16,C16,FHD16,FC16
140,21,2,5,2,4,2,5,4,5,4,3,1,2,1,5,4,5,4,3,3,3,3,2,1,2,1,4,2,1,2
141,22,2,2,2,2,2,5,4,5,4,3,1,2,1,4,3,4,3,3,4,3,4,4,1,1,1,3,4,3,4
142,25,2,2,2,2,2,5,4,5,3,1,1,1,1,5,4,5,4,5,1,1,2,1,1,1,1,5,1,1,1
143,22,2,3,1,4,2,3,2,1,2,5,1,2,2,4,3,4,2,3,3,1,3,5,1,1,2,5,2,1,2
144,21,1,5,1,5,1,2,2,1,3,2,4,2,4,2,1,5,1,3,2,1,2,5,1,1,1,2,3,1,3
145,22,2,3,1,3,2,5,1,1,3,4,1,2,2,1,1,5,2,5,3,5,2,2,1,1,1,3,2,1,3
146,21,2,5,2,5,4,4,1,1,3,1,1,2,1,5,3,5,4,5,2,5,3,1,1,1,2,4,2,1,2
147,24,2,2,1,4,1,5,4,5,4,3,1,1,1,4,3,4,3,3,3,3,3,2,1,2,1,3,1,1,1
148,26,2,2,2,2,2,2,1,1,1,4,1,2,1,4,3,4,3,5,2,1,2,5,2,1,1,5,1,1,1
149,21,2,4,3,4,3,5,4,5,3,3,1,2,1,1,4,4,4,5,3,5,1,4,4,4,3,5,4,5,2
150,22,2,5,3,5,1,5,4,5,4,1,1,2,2,1,3,1,3,5,3,5,2,2,1,2,1,4,3,1,2
151,21,1,2,3,2,3,5,1,1,3,2,3,2,3,1,2,1,2,4,1,1,1,2,1,1,1,4,3,1,3
152,21,1,3,2,3,2,5,4,5,3,2,1,2,3,5,3,5,4,5,2,1,2,5,1,1,1,2,1,1,3
153,21,2,2,4,2,4,5,1,5,2,3,3,3,2,5,2,5,2,3,4,3,4,5,1,2,2,3,1,1,1
154,21,2,2,4,2,3,1,2,1,3,3,2,2,2,1,4,1,3,5,3,1,2,5,1,1,1,3,3,1,2
155,21,2,4,3,4,3,5,4,5,3,2,4,2,4,2,4,2,4,5,4,5,4,5,3,5,2,4,2,1,4
156,21,2,5,2,5,2,5,3,5,2,2,4,2,4,1,2,1,2,1,2,1,4,2,1,1,1,3,1,1,3
158,21,1,2,1,2,1,4,3,1,1,4,1,2,1,5,3,5,3,5,4,5,4,1,1,1,1,4,1,1,1
159,21,1,5,2,5,2,5,4,5,4,3,1,3,1,4,2,4,2,5,1,1,2,1,1,1,2,1,1,1,3
160,20,1,5,2,5,2,3,2,1,2,3,1,3,1,1,1,1,1,3,4,3,4,4,2,4,2,4,3,4,2
