id,AGE,GENDER,H1,C1,FHD1,FC1,H5,C5,FHD5,FC5,H8,C8,FHD8,FC8,H11,C11,FHD11,FC11,H14,C14,FHD14,FC14,H15,C15,FHD15,FC15,H18,C18,FHD18,FC18,H20,C20,FHD20,FC20
203,23,2,2,3,2,4,4,2,4,1,1,1,2,1,3,1,4,1,4,3,4,3,5,4,5,4,5,4,5,4,5,2,2,3
204,30,1,4,1,2,2,1,3,1,4,1,2,1,2,1,1,4,1,5,2,5,2,1,1,5,3,5,4,5,4,2,2,2,3
205,21,2,1,1,2,2,2,1,1,1,1,3,1,3,5,2,4,1,5,3,5,3,4,3,4,3,3,3,3,3,2,4,2,4
206,21,2,2,3,2,4,2,3,1,4,4,2,2,1,1,2,1,2,4,2,4,3,2,2,5,3,3,3,3,2,4,2,2,3
207,21,1,2,3,2,4,3,2,1,2,5,1,2,3,1,1,4,2,4,1,4,2,2,2,5,3,3,3,3,2,2,4,2,4
208,20,2,1,4,1,3,4,1,1,2,5,3,5,3,1,1,1,1,4,3,4,3,2,2,5,3,4,2,4,2,1,2,2,4
209,21,1,2,1,2,2,4,3,4,2,1,4,1,4,1,2,1,2,5,3,5,3,5,4,5,4,5,4,5,4,5,2,2,2
210,21,1,4,1,3,2,4,3,1,2,4,3,4,1,1,1,1,1,5,3,5,3,3,2,3,1,5,3,5,3,3,1,3,1
211,22,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,4,2,4,2,2,3,2,3,3,3,3,2,2,4,2,4
212,20,1,2,2,4,2,4,1,4,1,4,3,4,3,1,1,1,2,4,4,4,4,4,4,4,2,4,2,4,1,4,2,2,2
215,35,1,2,4,2,3,2,3,2,3,5,2,5,2,2,2,2,2,4,2,4,2,3,2,5,2,5,3,5,3,5,3,2,2
216,21,2,4,2,4,2,1,4,1,4,1,2,1,2,1,1,4,1,4,1,4,3,3,1,5,3,4,2,4,2,2,3,2,4
218,21,1,5,3,5,2,1,3,1,4,1,2,1,2,1,2,1,2,4,1,4,2,3,1,5,2,3,3,3,2,2,1,2,2
219,21,2,3,4,3,3,4,2,1,2,1,3,1,3,1,1,4,1,1,1,1,1,4,1,5,1,4,2,2,1,2,1,2,2
221,21,1,3,1,3,1,2,1,1,3,3,1,2,1,2,1,2,1,1,1,3,1,4,3,4,2,4,1,4,1,1,1,1,1
225,22,1,3,4,4,4,1,4,1,4,5,1,2,2,3,2,4,2,5,1,4,2,2,2,5,4,3,3,3,2,1,2,2,4
227,21,1,2,2,2,3,2,2,2,2,4,2,4,2,1,3,1,2,4,3,4,3,2,2,5,2,4,2,4,2,5,2,2,2
229,19,2,3,2,3,3,1,4,1,4,1,2,1,2,1,1,1,1,5,2,5,2,2,4,2,4,4,3,4,3,2,3,2,3
